Date,Not indexed,Indexed,Impressions
2026-08-17,,,2
2026-08-18,,,11
2026-08-19,,,99
2026-08-20,16060,2402,323
2026-08-21,3048,9985,433
2026-08-22,3048,9985,632
2026-08-23,3048,9985,628
2026-08-24,3048,9985,572
2026-08-25,3048,9985,794
2026-08-26,3048,9985,602
2026-08-27,3048,9985,566
