Date,Clicks,Impressions,CTR,Position
2026-08-18,1,2,50%,1
2026-08-19,3,11,27.27%,4.6
2026-08-20,2,99,2.02%,32.1
2026-08-21,5,323,1.55%,34.1
2026-08-22,3,433,0.69%,37.5
